No,ID,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Position,Jersey Number,Joined,Contract Valid Until,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes
0,158023,L. Messi,31,Argentina,94,94,FC Barcelona,€110.5M,565,Left,5,4,4,Medium/ Medium,RF,10,1-Jul-04,2021,5'7,159lbs,84,95,70,90,86,97,93,94,87,96,91,86,91,95,95,85,68,72,59,94,48,22,94,94,75,96,33,28,26,6,11,15,14,8
1,20801,Cristiano Ronaldo,33,Portugal,94,94,Juventus,€77M,405,Right,5,4,5,High/ Low,ST,7,10-Jul-18,2022,6'2,183lbs,84,94,89,81,87,88,81,76,77,94,89,91,87,96,70,95,95,88,79,93,63,29,95,82,85,95,28,31,23,7,11,15,14,11
2,190871,Neymar Jr,26,Brazil,92,93,Paris Saint-Germain,€118.5M,290,Right,5,5,5,High/ Medium,LW,10,3-Aug-17,2022,5'9,150lbs,79,87,62,84,84,96,88,87,78,95,94,90,96,94,84,80,61,81,49,82,56,36,89,87,81,94,27,24,33,9,9,15,15,11
3,193080,De Gea,27,Spain,91,93,Manchester United,€72M,260,Right,4,3,1,Medium/ Medium,GK,1,1-Jul-11,2020,6'4,168lbs,17,13,21,50,13,18,21,19,51,42,57,58,60,90,43,31,67,43,64,12,38,30,12,68,40,68,15,21,13,90,85,87,88,94
4,192985,K. De Bruyne,27,Belgium,91,92,Manchester City,€102M,355,Right,4,5,4,High/ High,RCM,7,30-Aug-15,2023,5'11,154lbs,93,82,55,92,82,86,85,83,91,91,78,76,79,91,77,91,63,90,75,91,76,61,87,94,79,88,68,58,51,15,13,5,10,13
5,183277,E. Hazard,27,Belgium,91,91,Chelsea,€93M,340,Right,4,4,4,High/ Medium,LF,10,1-Jul-12,2020,5'8,163lbs,81,84,61,89,80,95,83,79,83,94,94,88,95,90,94,82,56,83,66,80,54,41,87,89,86,91,34,27,22,11,12,6,8,8
6,177003,L. Modri?,32,Croatia,91,91,Real Madrid,€67M,420,Right,4,4,4,High/ High,RCM,10,1-Aug-12,2020,5'8,146lbs,86,72,55,93,76,90,85,78,88,93,80,72,93,90,94,79,68,89,58,82,62,83,79,92,82,84,60,76,73,13,9,7,14,9
7,176580,L. Suárez,31,Uruguay,91,91,FC Barcelona,€80M,455,Right,5,4,3,High/ Medium,RS,9,11-Jul-14,2021,6'0,190lbs,77,93,77,82,88,87,86,84,64,90,86,75,82,92,83,86,69,90,83,85,87,41,92,84,85,85,62,45,38,27,25,31,33,37
8,155862,Sergio Ramos,32,Spain,91,91,Real Madrid,€51M,380,Right,4,3,3,High/ Medium,RCB,15,1-Aug-05,2020,6'0,181lbs,66,60,91,78,66,63,74,72,77,84,76,75,78,85,66,79,93,84,83,59,88,90,60,63,75,82,87,92,91,11,8,9,7,11
9,200389,J. Oblak,25,Slovenia,90,93,Atlético Madrid,€68M,94,Right,3,3,1,Medium/ Medium,GK,1,16-Jul-14,2021,6'2,192lbs,13,11,15,29,13,12,13,14,26,16,43,60,67,86,49,22,76,41,78,12,34,19,11,70,11,70,27,12,18,86,92,78,88,89
10,188545,R. Lewandowski,29,Poland,90,90,FC Bayern München,€77M,205,Right,4,4,4,High/ Medium,ST,9,1-Jul-14,2021,6'0,176lbs,62,91,85,83,89,85,77,86,65,89,77,78,78,90,78,88,84,78,84,84,80,39,91,77,88,86,34,42,19,15,6,12,8,10
11,182521,T. Kroos,28,Germany,90,90,Real Madrid,€76.5M,355,Right,4,5,3,Medium/ Medium,LCM,8,17-Jul-14,2022,6'0,168lbs,88,76,54,92,82,81,86,84,93,90,64,62,70,89,71,87,30,75,73,92,60,82,79,86,73,85,72,79,69,10,11,13,7,10
12,182493,D. Godín,32,Uruguay,90,90,Atlético Madrid,€44M,125,Right,3,3,2,Medium/ High,CB,10,4-Aug-10,2019,6'2,172lbs,55,42,92,79,47,53,49,51,70,76,68,68,58,85,54,67,91,66,88,43,89,88,48,52,50,82,90,89,89,6,8,15,5,15
13,168542,David Silva,32,Spain,90,90,Manchester City,€60M,285,Left,4,2,4,High/ Medium,LCM,21,14-Jul-10,2020,5'8,148lbs,84,76,54,93,82,89,82,77,87,94,70,64,92,90,90,72,64,78,52,75,57,50,89,92,75,93,59,53,29,6,15,7,6,12
14,215914,N. Kanté,27,France,89,90,Chelsea,€63M,225,Right,3,3,2,Medium/ High,LDM,13,16-Jul-16,2023,5'6,159lbs,68,65,54,86,56,79,49,49,81,80,82,78,82,93,92,71,77,96,76,69,90,92,71,79,54,85,90,91,85,15,12,10,7,10
15,211110,P. Dybala,24,Argentina,89,94,Juventus,€89M,205,Left,3,3,4,High/ Medium,LF,21,1-Jul-15,2022,5'10,165lbs,82,84,68,87,88,92,88,88,75,92,87,83,91,86,85,82,75,80,65,88,48,32,84,87,86,84,23,20,20,5,4,4,5,8
16,202126,H. Kane,24,England,89,91,Tottenham Hotspur,€83.5M,205,Right,3,4,3,High/ High,ST,9,1-Jul-10,2024,6'2,196lbs,75,94,85,80,84,80,78,68,82,84,68,72,71,91,71,88,78,89,84,85,76,35,93,80,90,89,56,36,38,8,10,11,14,11
17,194765,A. Griezmann,27,France,89,90,Atlético Madrid,€78M,145,Left,4,3,4,High/ High,CAM,7,28-Jul-14,2023,5'9,161lbs,82,90,84,83,87,88,84,78,76,90,88,85,90,90,80,80,90,83,62,82,69,35,91,83,79,87,59,47,48,14,8,14,13,14
18,192448,M. ter Stegen,26,Germany,89,92,FC Barcelona,€58M,240,Right,3,4,1,Medium/ Medium,GK,22,1-Jul-14,2022,6'2,187lbs,15,14,11,36,14,17,18,12,42,18,38,50,37,85,43,22,79,35,79,10,43,22,11,69,25,69,25,13,10,87,85,88,85,90
19,192119,T. Courtois,26,Belgium,89,90,Real Madrid,€53.5M,240,Left,4,2,1,Medium/ Medium,GK,1,9-Aug-18,2024,6'6,212lbs,14,14,13,33,12,13,19,20,35,23,46,52,61,84,45,36,68,38,70,17,23,15,13,44,27,66,20,18,16,85,91,72,86,88
